school,city,status,is_private,needs_review,board_division,district,enrollment,lat,lon,CCB,CCG,GOB,GOG,SOB,TNG,VBG,BKB,BKG,CHC,DAC,SCB,WR,BA,SBG,SOG,TNB,TRB,TRG
West Chicago (Wheaton Academy),West Chicago,private,True,False,3.0,7.0,670.0,41.8867,-88.2031,2A,2A,2A,1A,2A,1A,3A,3A,2A,1A,,2A,1A,3A,2A,2A,1A,2A,2A
West Frankfort (Frankfort),West Frankfort,public,False,False,0.0,0.0,411.0,37.8979,-88.9307,1A,1A,1A,1A,,,2A,2A,2A,,,1A,1A,2A,2A,,,1A,1A
West Prairie,Colchester,public,False,False,,,160.0,40.4156,-90.7846,1A,,,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Westmont,Westmont,public,False,False,0.0,0.0,376.0,41.7728,-87.9757,1A,1A,1A,1A,1A,,2A,2A,2A,,,1A,1A,2A,2A,1A,,1A,1A
Westville,Westville,public,False,False,0.0,0.0,326.0,40.0451,-87.636,1A,,1A,1A,,,2A,2A,2A,,,1A,1A,2A,2A,,,1A,1A
Wheaton (North),Wheaton,public,False,False,0.0,0.0,1844.0,41.856049999999996,-88.10050000000001,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,2A,2A,3A,4A,4A,3A,2A,3A,3A
Wheaton (St. Francis),Wheaton,private,True,False,3.0,7.0,707.0,41.856049999999996,-88.10050000000001,2A,2A,2A,2A,2A,1A,4A,3A,3A,2A,2A,2A,1A,3A,3A,2A,1A,2A,2A
Wheaton (W. Warrenville South),Wheaton,public,False,False,0.0,0.0,1824.0,41.856049999999996,-88.10050000000001,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,2A,2A,3A,4A,4A,3A,2A,3A,3A
Wheeling,Wheeling,public,False,False,0.0,0.0,1658.0,42.134,-87.9341,3A,3A,3A,,2A,2A,4A,4A,4A,C,2A,2A,2A,4A,4A,2A,2A,3A,3A
White Hall (North Greene),White Hall,public,False,False,0.0,0.0,239.0,39.4288,-90.4019,,,,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Williamsfield,Williamsfield,public,False,False,0.0,0.0,95.0,40.9277,-90.0267,,,1A,1A,,,1A,,,,,,,1A,1A,,,,
Williamsville,Williamsville,public,False,False,0.0,0.0,454.0,39.9542,-89.5487,1A,1A,1A,1A,1A,,2A,2A,2A,1A,,2A,1A,2A,2A,1A,,2A,2A
Wilmette (Loyola Academy),Wilmette,private,True,False,2.0,4.0,1944.0,42.0765,-87.7246,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Wilmette (Regina Dominican),Wilmette,private,True,False,2.0,4.0,396.0,42.0765,-87.7246,,2A,,1A,,1A,2A,,2A,,,,,,2A,1A,,,1A
Wilmington,Wilmington,public,False,False,0.0,0.0,400.0,41.3078,-88.1467,,,1A,1A,,,2A,2A,2A,1A,,1A,1A,2A,2A,1A,,1A,1A
Winchester,Winchester,public,False,False,0.0,0.0,167.0,39.6266,-90.4664,1A,1A,,,,,,1A,,,,1A,,,1A,,,1A,1A
Windsor,Windsor,public,False,False,0.0,0.0,78.0,39.4302,-88.5857,,,1A,1A,,,1A,,,,,1A,,,1A,,,,
Winnebago,Winnebago,public,False,False,0.0,0.0,399.0,42.2727,-89.2373,1A,1A,1A,1A,1A,,2A,2A,2A,1A,,1A,1A,2A,2A,1A,,1A,1A
Winnetka (New Trier),Winnetka,public,False,False,0.0,0.0,3613.0,42.1054,-87.7535,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Winnetka (North Shore Country Day),Winnetka,private,True,False,2.0,4.0,188.0,42.1054,-87.7535,1A,1A,1A,1A,1A,1A,1A,1A,1A,,,,,1A,,1A,1A,1A,1A
Wolf Lake (Shawnee),Wolf Lake,public,False,False,0.0,0.0,69.0,37.512,-89.4408,,,,,,,1A,1A,1A,,,,,1A,1A,,,,
Wood River (East Alton-W.R.),Wood River,public,False,False,0.0,0.0,515.0,38.8643,-90.0875,1A,1A,2A,,1A,1A,2A,2A,2A,1A,,2A,1A,2A,2A,1A,,2A,2A
Woodhull (AlWood),Woodhull,public,False,False,0.0,0.0,96.0,41.1849,-90.2833,,,,,,,,1A,1A,,,1A,,1A,1A,,,,
Woodlawn,Woodlawn,public,False,False,0.0,0.0,173.0,38.3844,-89.0745,,,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Woodstock (H.S.),Woodstock,public,False,False,0.0,0.0,986.0,42.3198,-88.4477,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,1A,,2A,3A,3A,2A,1A,2A,2A
Woodstock (Marian),Woodstock,private,True,False,2.0,6.0,300.0,42.3198,-88.4477,1A,1A,1A,1A,1A,1A,1A,1A,1A,,1A,,2A,1A,2A,1A,1A,2A,2A
Woodstock (North),Woodstock,public,False,False,0.0,0.0,935.0,42.3198,-88.4477,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,1A,,2A,3A,3A,2A,1A,2A,2A
Yorkville (H.S.),Yorkville,public,False,False,0.0,0.0,2188.0,41.6387,-88.4438,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,,3A,4A,4A,3A,2A,3A,3A
Yorkville (Parkview Christian Academy),Yorkville,private,True,False,3.0,9.0,103.0,41.6387,-88.4438,,,1A,,1A,,1A,1A,1A,,,,,1A,,,,,
Yorkville (Y. Christian),Yorkville,private,True,False,3.0,9.0,187.0,41.6387,-88.4438,,,1A,,1A,,1A,2A,1A,,,,1A,1A,1A,,,1A,1A
Zeigler (Z.-Royalton),Zeigler,public,False,False,0.0,0.0,130.0,37.8991,-89.0523,,,1A,1A,,,1A,1A,,1A,,,,2A,2A,,,,
Zion (Z.-Benton),Zion,public,False,False,0.0,0.0,2060.0,42.4442,-87.8389,3A,3A,3A,,3A,2A,4A,4A,4A,C,,2A,3A,4A,4A,3A,2A,3A,3A
