school,city,status,is_private,needs_review,board_division,district,enrollment,lat,lon,CCB,CCG,GOB,GOG,SOB,TNG,VBG,BKB,BKG,CHC,DAC,SCB,WR,BA,SBG,SOG,TNB,TRB,TRG
Mt. Pulaski,Mount Pulaski,public,False,False,0.0,0.0,174.0,40.0045,-89.2935,1A,1A,1A,,1A,,1A,1A,1A,,,1A,,1A,,,,1A,1A
Mt. Sterling (Brown County),Mount Sterling,public,False,False,0.0,0.0,222.0,39.9803,-90.7414,,,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Mt. Vernon (H.S.),Mount Vernon,public,False,False,0.0,0.0,1152.0,38.317,-88.9105,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,,2A,2A,3A,3A,2A,1A,2A,2A
Mt. Zion,Mt Zion,public,False,False,0.0,0.0,748.0,39.773,-88.8616,2A,2A,2A,1A,2A,1A,3A,3A,3A,,,2A,1A,3A,3A,1A,1A,2A,2A
Mulberry Grove,Mulberry Grove,public,False,False,0.0,0.0,100.0,38.9311,-89.2463,,,,,,,1A,1A,,,,1A,,1A,1A,,,,
Mundelein (Carmel),Mundelein,private,True,False,2.0,6.0,1115.0,42.2636,-88.0048,2A,3A,3A,2A,2A,1A,3A,3A,4A,2A,2A,,2A,3A,4A,3A,2A,2A,2A
Mundelein (H.S.),Mundelein,public,False,False,0.0,0.0,2254.0,42.2636,-88.0048,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Murphysboro,Murphysboro,public,False,False,0.0,0.0,546.0,37.7655,-89.3317,1A,1A,2A,1A,1A,,2A,2A,2A,,1A,,1A,2A,2A,1A,,2A,2A
Naperville (Calvary Christian),Naperville,private,True,False,,,21.0,41.76968333333333,-88.1449,,,,,,,1A,,,,,,,,,,,1A,1A
Naperville (Central),Naperville,public,False,False,0.0,0.0,2501.0,41.76968333333333,-88.1449,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Naperville (Neuqua Valley),Naperville,public,False,False,0.0,0.0,2977.0,41.76968333333333,-88.1449,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Naperville (North),Naperville,public,False,False,0.0,0.0,2480.0,41.76968333333333,-88.1449,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Nashville,Nashville,public,False,False,0.0,0.0,332.0,38.3352,-89.3841,1A,1A,1A,1A,,,2A,2A,2A,1A,1A,1A,,2A,2A,,,1A,1A
Neoga,Neoga,public,False,False,0.0,0.0,169.0,39.322,-88.4503,,1A,,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
New Athens,New Athens,public,False,False,0.0,0.0,156.0,38.316,-89.8728,1A,,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
New Berlin,New Berlin,public,False,False,0.0,0.0,246.0,39.7681,-89.855,,,,,,,1A,1A,,1A,,1A,,2A,2A,,,1A,1A
New Lenox (Lincoln-Way Central),New Lenox,public,False,False,0.0,0.0,1970.0,41.5067,-87.9631,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
New Lenox (Lincoln-Way West),New Lenox,public,False,False,0.0,0.0,1994.0,41.5067,-87.9631,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
New Lenox (Providence Catholic),New Lenox,private,True,False,3.0,9.0,753.0,41.5067,-87.9631,2A,2A,2A,1A,2A,1A,3A,3A,3A,2A,2A,2A,2A,4A,3A,2A,1A,2A,2A
Newark,Newark,public,False,False,0.0,0.0,173.0,41.5267,-88.527,,,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Newton,Newton,public,False,False,0.0,0.0,401.0,38.9847,-88.1704,1A,1A,1A,,1A,1A,2A,2A,2A,,,1A,,2A,2A,,1A,1A,1A
Niantic (Sangamon Valley),Niantic,public,False,False,0.0,0.0,195.0,39.8582,-89.1701,,,,,,,,,2A,,,1A,,,,,,1A,1A
Niles (Northridge Prep),Niles,private,True,False,2.0,4.0,458.0,42.0312,-87.8112,2A,,1A,,2A,,,2A,,,,2A,2A,2A,,,1A,2A,
Niles (Notre Dame),Niles,private,True,False,2.0,4.0,1624.0,42.0312,-87.8112,3A,,3A,,3A,,,4A,,,,2A,3A,4A,,,2A,3A,
Nokomis,Nokomis,public,False,False,0.0,0.0,187.0,39.3036,-89.2853,,,,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Normal (Calvary Christian Academy),Normal,private,True,False,5.0,15.0,44.0,40.51135,-88.99315,,,,,1A,,1A,1A,1A,,,,,,,,,,
Normal (Community West),Normal,public,False,False,0.0,0.0,1520.0,40.51135,-88.99315,2A,2A,3A,2A,2A,2A,3A,3A,3A,2A,2A,,2A,3A,3A,2A,2A,3A,3A
Normal (Community),Normal,public,False,False,0.0,0.0,2021.0,40.51135,-88.99315,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Normal (University),Normal,public_nonboundaried,False,False,0.0,0.0,625.0,40.51135,-88.99315,2A,2A,2A,2A,2A,1A,3A,3A,2A,2A,,2A,1A,3A,3A,2A,1A,2A,3A
Norridge (Ridgewood),Harwood Heights,public,False,False,0.0,0.0,955.0,41.9643,-87.8162,2A,2A,,,2A,1A,3A,3A,3A,2A,1A,,2A,3A,3A,2A,,2A,2A
Norris City (N.C.-Omaha-Enfield),Norris City,public,False,False,0.0,0.0,184.0,37.9773,-88.3243,1A,,1A,1A,,,1A,1A,,,,1A,,1A,1A,,,1A,1A
